Port,SupplyDemand,Num Samples
Aberdeen-f8ea5ddd09c3,Demand,19
Aberdeen-f8ea5ddd09c3,Supply,43
Abidjan-ef95aea8399b,Demand,786
Abidjan-ef95aea8399b,Supply,55
Abkatun Terminal-e054acbce2af,Supply,218
Abu Al Bu Khoosh-bf7cab492b9b,Supply,122
Acajutla-9e6d3e562992,Demand,50
Ad Dakhla-e4ef831f6712,Supply,215
Aden-0150d4fee758,Demand,46
Afia Terminal-39319bbba149,Supply,201
Agioi Theodoroi-7d3292626911,Demand,116
Agioi Theodoroi-7d3292626911,Supply,135
Aguadulce-f392c2c62fc6,Demand,34
Aguadulce-f392c2c62fc6,Supply,48
Ain Sukhna-1a3e7c53d691,Demand,1590
Ain Sukhna-1a3e7c53d691,Supply,194
Akita-219577441025,Demand,29
Al Basrah-1fc976f51917,Demand,12
Al Basrah-1fc976f51917,Supply,164
Al Muajjiz Terminal-e69352f09461,Demand,2091
Al Muajjiz Terminal-e69352f09461,Supply,13
Al Rayyan Terminal-63332acc77de,Supply,521
Al Shaheen-a874751f27d5,Demand,304
Al Shaheen-a874751f27d5,Supply,216
Alexandria-25fd86a43725,Supply,354
Algeciras-f1a4cd999637,Demand,96
Algeciras-f1a4cd999637,Supply,299
Aliaga-21b1378cef5b,Demand,17
Aliaga-21b1378cef5b,Supply,42
Alliance-c82ad425b780,Demand,341
Alliance-c82ad425b780,Supply,661
Ama-34f12b4c6a17,Demand,16
Ama-34f12b4c6a17,Supply,91
Ambelaki-f95bf05978df,Demand,10
Ambelaki-f95bf05978df,Supply,22
Amlwch-6eee8273399a,Demand,39
Amlwch-6eee8273399a,Supply,41
Amsterdam-a65eb5b59856,Supply,171
Amuay Bay-5e4554330016,Demand,18
Amuay Bay-5e4554330016,Supply,120
An Ping-e585fb95bd8e,Demand,12
Angra Dos Reis-d87b536f17a4,Demand,9
Angra Dos Reis-d87b536f17a4,Supply,203
Anholt-246b0793176c,Demand,138
Anholt-246b0793176c,Supply,303
Anse Tombladora-1a2328b8249e,Supply,999
Antan-a36fe373d14d,Supply,27
Antifer-d5d78c86794b,Demand,15
Antwerp-03800591867c,Demand,82
Antwerp-03800591867c,Supply,277
Anyer Lor-41852ba9c84a,Demand,9
Aqaba-e84221d81a14,Demand,32
Ardjuna-d97dccde6b8e,Supply,197
Ardrossan-8bbd0ea8f7b5,Demand,23
Ardrossan-8bbd0ea8f7b5,Supply,14
Argostolion-b076142a4144,Supply,60
Arraial do Cabo-b054cfd95b71,Demand,40
Arraial do Cabo-b054cfd95b71,Supply,23
Arrecife-51da4f6c5723,Demand,207
Arzew-4edb5359fa3e,Supply,53
Ash Shihr-578880cc7d3c,Supply,21
Ashburton-c47dc19835ce,Supply,118
Ashkelon-fd167dd07904,Demand,56
Ashtart-1a30d67c61b9,Supply,219
Asnaes-db5dc2dfd9d6,Supply,36
Aspropyrgos-24a155d8c02c,Demand,36
Assaluyeh-6ac34a3404e7,Demand,18
Assaluyeh-6ac34a3404e7,Supply,223
Atapupu-01acb336185f,Supply,267
Augusta-facbcc9badd3,Demand,13
Augusta-facbcc9badd3,Supply,308
Avalon-9dcfdaa2a4cd,Demand,10
Avalon-9dcfdaa2a4cd,Supply,291
Az Zawiyah-55a0bc1ebc27,Demand,70
Az Zawiyah-55a0bc1ebc27,Supply,74
Bahia Blanca-40a025c02835,Demand,769
Bahia Blanca-40a025c02835,Supply,17
Bahia Solano-723a94ced88c,Demand,12
Bahia Solano-723a94ced88c,Supply,18
Baia Do Ambriz-f4742dd26d85,Supply,40
Baia dos Tigres-486c1244464d,Supply,145
Bajo Grande-43af8c97bb52,Supply,35
Balboa-9c622572e868,Demand,5091
Balhaf-acb13478c949,Supply,10
Balikpapan-5fa8d362a22a,Demand,856
Balikpapan-5fa8d362a22a,Supply,42
Balongan-1fd4b61205b9,Demand,15
Balongan-1fd4b61205b9,Supply,29
Ban Ao Udom-d8ec7fa8f70d,Demand,187
Ban Ao Udom-d8ec7fa8f70d,Supply,11
Bandar Abbas-ce830646c7b4,Demand,33
Bandar Abbas-ce830646c7b4,Supply,844
Bandar E Mah Shahr-b3a8f44bd40a,Supply,13
Bandar Khomeyni-469b12bf5317,Demand,189
Bandar Khomeyni-469b12bf5317,Supply,469
Banghazi-8cfcf0a3b699,Supply,14
Baniyas-2767f0e61d83,Demand,9
Bantry-a03eff11cb26,Demand,47
Bantry-a03eff11cb26,Supply,113
Barbate-dd2d95f36a72,Supply,39
Barhoft-78b54c170ecc,Demand,60
Barhoft-78b54c170ecc,Supply,62
Barrow Island-b4dc6226b554,Supply,52
Bashayer-5e903d6d5c2c,Supply,24
Bata-b6159c5149fa,Supply,1578
Bataan-377c90243a7a,Demand,10
Bataan-377c90243a7a,Supply,23
Batangas City-599a4ab12ead,Demand,281
Batangas City-599a4ab12ead,Supply,424
Baton Rouge-1866b408e4d1,Demand,23
Baton Rouge-1866b408e4d1,Supply,191
Batu Ampar-c13dce863ef5,Demand,518
Batu Pahat-a352e0bacf9e,Demand,16
Batu Pahat-a352e0bacf9e,Supply,108
Batumskaya Bukhta-673ddbe4e080,Supply,114
Bayovar-c615c58ed79a,Supply,11
Baytown-0bbc5d394cf2,Demand,2217
Baytown-0bbc5d394cf2,Supply,1545
Bayuquan-2d56aa4f17ec,Demand,13
