From,To,Mean,Std. Dev
Istanbul-5b38615ba682,Midia-3dfd7036f3cc,6297.9046027299855,0.0
Midia-3dfd7036f3cc,Istanbul-5b38615ba682,1163.4167041033452,154.47201099668513
Zhoushan-611472facb34,Yeosu-e9b7bd6fcddb,4203.060805293342,0.0
Yeosu-e9b7bd6fcddb,Zhoushan-611472facb34,614.4095770359033,856.1592311003831
Argostolion-b076142a4144,Ceyhan-3b530c868db0,432.3527267885424,0.0
Ceyhan-3b530c868db0,Argostolion-b076142a4144,491.0434366210188,0.0
Falconara-dded61335358,Ceyhan-3b530c868db0,9429.87863293387,0.0
Ceyhan-3b530c868db0,Falconara-dded61335358,7525.097177171639,1111.2612951752967
Omisalj-89ece074914b,Ceyhan-3b530c868db0,2305.3199876569497,0.0
Ceyhan-3b530c868db0,Omisalj-89ece074914b,12648.05507495348,0.0
Ceyhan-3b530c868db0,Agioi Theodoroi-7d3292626911,5196.434115692461,610.0251072074523
Agioi Theodoroi-7d3292626911,Ceyhan-3b530c868db0,4682.899813118022,108.3113158159775
Ambelaki-f95bf05978df,Ceyhan-3b530c868db0,3470.071598039497,0.0
Ceyhan-3b530c868db0,Ambelaki-f95bf05978df,5016.844308497639,450.4440704023213
Yithion-2326abdb26a1,Ceyhan-3b530c868db0,3322.515960179604,814.6502960796229
Ceyhan-3b530c868db0,Yithion-2326abdb26a1,5011.733578279625,0.0
Es Sider-7b388828f370,Trieste-2aed856f346e,4661.106239965093,0.0
Trieste-2aed856f346e,Es Sider-7b388828f370,2661.1423775939543,0.0
Singapore-bfe15a9e31a0,Kota Agung-84a3447ce3f6,184.54705200797846,0.0
Kota Agung-84a3447ce3f6,Singapore-bfe15a9e31a0,287.17052612561446,0.0
Pengerang-1ae97f4f549d,Kiire-c1d11e2429fa,3315.7782967190838,0.0
Kiire-c1d11e2429fa,Pengerang-1ae97f4f549d,6710.421448709284,0.0
Mubarraz Oil Terminal-440295344cd7,Ras Tanura-601e8fb13c3c,603.7938920668054,481.30605555178005
Ras Tanura-601e8fb13c3c,Mubarraz Oil Terminal-440295344cd7,9147.220734751123,5.462179765775266
Mina Al Ahmadi Sea Island-98bd957bb207,Das Island-6bbe24b74298,5842.565340733664,0.0
Das Island-6bbe24b74298,Mina Al Ahmadi Sea Island-98bd957bb207,22526.31924732888,1022.5790747860448
Ust-Luga-e9ea2bf59471,Primorsk-1745900bf09d,14305.139464049018,0.0
Primorsk-1745900bf09d,Ust-Luga-e9ea2bf59471,3390.666585408526,0.0
Anholt-246b0793176c,Bilbao-8ca9c71dff9e,4149.860436065045,0.0
Bilbao-8ca9c71dff9e,Anholt-246b0793176c,5927.373625126516,0.0
Singapore-bfe15a9e31a0,Bayuquan-2d56aa4f17ec,5541.633437080567,0.0
Bayuquan-2d56aa4f17ec,Singapore-bfe15a9e31a0,817.3724598158218,178.55673025932825
Jakarta-9cac7206c0ef,Kota Agung-84a3447ce3f6,6608.462575332999,2859.1052295893846
Kota Agung-84a3447ce3f6,Jakarta-9cac7206c0ef,2659.4804871271817,0.0
Balikpapan-5fa8d362a22a,Tuban-a24ac0e38ee9,1410.9948066207687,3928.663660588268
Tuban-a24ac0e38ee9,Balikpapan-5fa8d362a22a,5428.628911194921,0.0
Jakarta-9cac7206c0ef,Ardjuna-d97dccde6b8e,1289.2578149868943,0.0
Ardjuna-d97dccde6b8e,Jakarta-9cac7206c0ef,21357.369321169484,0.0
Ardrossan-8bbd0ea8f7b5,Finnart Oil Terminal-68b4bb1f9d17,1279.7492099622912,0.0
Finnart Oil Terminal-68b4bb1f9d17,Ardrossan-8bbd0ea8f7b5,2439.433833804517,0.0
Grimsby-d6f49c2e1bad,Immingham-03154ce774bb,4189.943651692865,0.0
Immingham-03154ce774bb,Grimsby-d6f49c2e1bad,4601.806180833345,1222.545222494798
Sarroch-5e39efaa7d08,Bizerte-7acaf9640d06,3853.444911956647,0.0
Bizerte-7acaf9640d06,Sarroch-5e39efaa7d08,12783.100990806883,1178.0617498200122
Bizerte-7acaf9640d06,Ceyhan-3b530c868db0,1618.5869019269428,0.0
Ceyhan-3b530c868db0,Bizerte-7acaf9640d06,26358.477270971158,0.0
Loksa-5c043ab222c5,Ust-Luga-e9ea2bf59471,986.4963448895821,0.0
Ust-Luga-e9ea2bf59471,Loksa-5c043ab222c5,5877.979645152062,14317.015490882804
Loksa-5c043ab222c5,Vysotsk-473b36081811,8862.490567362245,0.0
Vysotsk-473b36081811,Loksa-5c043ab222c5,8452.438745413549,0.0
Veere-9fbd840d0ab7,Frederikshavn-09d8333af9ca,4253.573923492554,0.0
Frederikshavn-09d8333af9ca,Veere-9fbd840d0ab7,2949.987047484506,747.2629938055361
Freeport-fd2e0532af21,Corpus Christi-7a30d31f121f,4284.900796542717,41.27503384008208
Corpus Christi-7a30d31f121f,Freeport-fd2e0532af21,4290.21122653772,0.0
Ulsan-b3b140b8d0ea,Onsan-a7dc5f7a135b,6544.407627624399,3155.826029608297
Onsan-a7dc5f7a135b,Ulsan-b3b140b8d0ea,435.71125950770517,0.0
Fujairah-ca26fade3b91,Singapore-bfe15a9e31a0,3795.660354100253,0.0
Singapore-bfe15a9e31a0,Fujairah-ca26fade3b91,24846.056499755297,0.0
Singapore-bfe15a9e31a0,Labuan-7c41e61707fc,36119.96832134116,15321.000273125901
Labuan-7c41e61707fc,Singapore-bfe15a9e31a0,3295.8239208502246,2680.5702205595494
Jeddah-17dce7ee2e7d,Suez-4ad378ddd198,5604.781651135981,980.5312219788567
Suez-4ad378ddd198,Jeddah-17dce7ee2e7d,4333.52829040879,0.0
Galveston-80916f3912d8,Texas City-28cb23375401,7149.459536782728,30.251001796136027
